,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,name,1st_categories
0,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,Kinfen Braised Pork Rice (金峰魯肉飯),25.03219410314086,121.51853364691742,Taiwanese Restaurant,Taiwanese Restaurant,Food
1,"Datong Dist., Taipei City",25.06342433,121.51304170000002,大橋頭老牌筒仔米糕,25.06475277102246,121.51112650687251,Taiwanese Restaurant,Taiwanese Restaurant,Food
2,"Datong Dist., Taipei City",25.06342433,121.51304170000002,旗魚新竹米粉,25.067304742206947,121.51100203881906,Taiwanese Restaurant,Taiwanese Restaurant,Food
3,"Datong Dist., Taipei City",25.06342433,121.51304170000002,昌吉豬血湯,25.06586351359369,121.51648850370694,Taiwanese Restaurant,Taiwanese Restaurant,Food
4,"Datong Dist., Taipei City",25.06342433,121.51304170000002,珠記大橋頭油飯,25.062898741188786,121.51473196126109,Taiwanese Restaurant,Taiwanese Restaurant,Food
5,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,台南財神担仔麵,25.058372931309002,121.56057059861686,Taiwanese Restaurant,Taiwanese Restaurant,Food
6,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,民生炒飯專賣店,25.058630070536303,121.55653703036269,Taiwanese Restaurant,Taiwanese Restaurant,Food
7,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,鬍鬚張,25.058324,121.554001,Taiwanese Restaurant,Taiwanese Restaurant,Food
8,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,天曉得牛肉麵,25.058597,121.557513,Taiwanese Restaurant,Taiwanese Restaurant,Food
9,"Da’an Dist., Taipei City",25.02677012,121.5434446,小李子清粥小菜,25.028654845206567,121.54352985624104,Taiwanese Restaurant,Taiwanese Restaurant,Food
10,"Da’an Dist., Taipei City",25.02677012,121.5434446,阿英海產粥,25.024726421832856,121.54337551560609,Taiwanese Restaurant,Taiwanese Restaurant,Food
11,"Da’an Dist., Taipei City",25.02677012,121.5434446,一流清粥小菜,25.02978557246128,121.54347669166113,Taiwanese Restaurant,Taiwanese Restaurant,Food
12,"Banqiao Dist., New Taipei City",25.01186453,121.45796750000001,林員肉圓,25.01010062954634,121.45641142179204,Taiwanese Restaurant,Taiwanese Restaurant,Food
13,"Yonghe Dist., New Taipei City",25.00810199,121.516745,台南蔡虱目魚,25.004513025875553,121.51774989871804,Taiwanese Restaurant,Taiwanese Restaurant,Food
14,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,臻味赤肉胡椒餅 烤地瓜,25.03302190908955,121.5182461846204,Bakery,Bakery,Food
15,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,樂田麵包屋 Gakuden Boulangerie,25.032756807322098,121.51753392694344,Bakery,Bakery,Food
16,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,朋廚烘培坊 Bonjour,25.060423119497834,121.56044655544376,Bakery,Bakery,Food
17,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,Chirle Brown 民生店,25.058526,121.55494,Bakery,Bakery,Food
18,"Da’an Dist., Taipei City",25.02677012,121.5434446,小巴黎人麵包製作所,25.028103,121.54797,Bakery,Bakery,Food
19,"Da’an Dist., Taipei City",25.02677012,121.5434446,貝倫坊,25.023481719181493,121.54281277944702,Bakery,Bakery,Food
20,"Xinyi Dist., Taipei City",25.03062083,121.57166969999999,Wu Pao Chun Bakery (吳寶春 台北信義旗艦店),25.032546462526156,121.5688260450788,Bakery,Bakery,Food
21,"Yonghe Dist., New Taipei City",25.00810199,121.516745,Piemonte 派夢地手工烘焙坊,25.012128736777623,121.51520152042897,Bakery,Bakery,Food
23,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,虎記商行,25.03174391599463,121.51928430964325,Café,Café,Food
24,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,生活在他方 Elsewhere Cafe,25.03053622661597,121.52063002954868,Café,Café,Food
25,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,三槐堂,25.030554762499534,121.51938106934477,Café,Café,Food
26,"Zhongzheng Dist., Taipei City",25.03240487,121.51988390000001,勿忘我咖啡小館 Vergißmeinnicht - German Retro Café Bistro,25.033296130402718,121.52016439308247,Café,Café,Food
27,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,Fujin Tree 353 Cafe by Simple Kaffa,25.060594829821206,121.55787324658218,Café,Café,Food
28,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,All Day Roasting Company,25.056569457688397,121.56034730652269,Café,Café,Food
29,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,六丁目Cafe,25.058308034751487,121.56094157126483,Café,Café,Food
30,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,小春日和 動物雜貨• 珈琲,25.05654901310708,121.55873235211924,Café,Café,Food
31,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,BEANS & BEATS,25.060530461142765,121.55743184853837,Café,Café,Food
32,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,Kyushu Pancake (九州鬆餅咖啡店),25.06069128595943,121.56077758547697,Café,Café,Food
33,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,De 'A,25.060530250231206,121.55745288777646,Café,Café,Food
34,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,"3,CO Cafe",25.060655200752393,121.55916285584222,Café,Café,Food
35,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,Pausa,25.060573,121.556071,Café,Café,Food
36,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,Polar Cafe,25.059533,121.558263,Café,Café,Food
37,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,芭蕾咖啡館 Cafe Ballet,25.057363504568187,121.56049364375195,Café,Café,Food
38,"Songshan Dist., Taipei City",25.05999101,121.55758759999999,虎屋 hooooo Cafe',25.05716680183214,121.55798111069967,Café,Café,Food
